0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,4440.71,5635.3,7964.89,8161.95,8359.87,3517.83,2378.02,1167.12,273.74,292.44,2.0,1058.36,1999.59,4484.13,3926.5,4266.48,8040.56,8152.2,2638.58,3992.02,2792.07,3489.66,4639.43,3964.13,4034.1,3488.06,3486.38,574.17,1125.71,4597.34,2388.75,3252.93,3464.03,2933.46,4787.34,4281.35,3904.36,4307.57,4114.28,4092.99,4597.34,2250.15,1110.3,1382.35,1382.35,2339.37,4770.14,3387.92,1093.9
4040.46,0.0,3048.06,2271.48,2468.53,2265.98,1898.49,2617.82,4539.33,4198.09,4271.11,4038.46,3288.28,5131.72,2166.65,3561.8,1205.08,2010.34,2121.99,2093.26,1831.11,1949.9,1274.32,388.35,2090.47,2097.56,3123.36,3121.69,4379.43,3609.92,2032.93,2613.16,2647.93,2955.85,2275.85,933.36,860.01,946.92,2371.03,1953.38,1932.09,2032.93,2608.59,4482.51,4428.13,4428.13,1917.08,2776.8,1768.59,4862.97
4568.34,4397.79,0.0,5000.91,5197.97,5395.89,2921.47,2177.32,5229.75,4243.96,4595.03,4566.34,4409.58,5572.16,4318.46,941.62,3642.92,5076.58,5188.22,3623.06,3982.92,3494.59,2866.11,4596.5,4242.27,4249.37,1442.2,1440.52,4486.18,4839.36,4184.73,4157.84,4192.62,4673.58,3820.54,5021.89,4272.26,3861.44,4522.84,4105.19,4083.89,4184.73,3405.14,5172.93,5444.98,5444.98,3192.28,5506.23,2791.57,4666.47
7974.95,2872.28,4288.89,0.0,202.89,1254.33,4686.73,4663.89,8636.35,7650.57,8001.64,7972.95,4592.51,8978.77,1390.27,5175.12,4020.89,800.03,828.83,3386.1,1428.61,2791.41,3748.89,2854.91,1505.72,1512.82,5380.32,5378.64,7892.79,4610.6,1699.03,3454.66,3426.1,3000.73,3054.02,2550.4,2044.41,3762.73,1436.57,1784.07,1810.89,1699.03,3901.44,8579.54,5428.82,5428.82,3224.43,699.73,4542.1,8073.08
8172.01,3069.34,4485.95,202.89,0.0,1451.39,4883.79,4860.95,8833.41,7847.63,8198.7,8170.01,4789.57,9175.83,1587.33,5372.17,4217.95,997.09,1025.89,3583.16,1625.67,2988.47,3945.94,3051.96,1702.78,1709.88,5577.38,5575.7,8089.85,4807.66,1896.09,3651.72,3623.16,3197.79,3251.08,2747.46,2241.47,3959.79,1633.63,1981.13,2007.95,1896.09,4098.5,8776.6,5625.88,5625.88,3421.49,896.79,4739.16,8270.14
7409.71,2307.04,3723.65,672.53,869.59,0.0,4121.49,4098.66,8071.12,7085.33,7436.4,7407.71,7275.69,8413.53,1868.39,4609.88,3455.65,748.2,859.84,3393.62,1906.73,2798.93,3183.65,2289.67,1983.85,1990.94,4815.08,4813.4,7327.55,4910.29,1546.89,3462.18,3496.95,3241.26,3124.88,1985.16,1479.17,3197.49,1914.69,1379.0,2217.5,1546.89,3908.96,8014.3,8286.35,8286.35,3231.95,1177.85,3976.86,7507.84
3594.58,2192.6,2918.26,3734.76,3931.82,3729.26,0.0,1468.64,4386.48,3270.2,3621.27,3592.58,3135.44,4598.4,2635.81,2412.62,2264.92,3244.26,3355.9,1940.41,2300.27,1811.94,1488.11,2391.31,2559.62,2566.71,1974.18,1972.5,3512.42,3457.07,2502.08,2475.19,2509.96,2990.92,2137.89,2816.7,2743.34,1656.24,2840.18,2422.53,2401.24,2502.08,1722.49,4329.66,4275.29,4275.29,1509.63,2995.64,144.78,3692.71
2551.05,2944.96,2174.11,3964.58,4161.64,5542.95,1468.64,0.0,3212.45,2226.67,2577.74,2549.05,2392.29,3554.87,2865.63,1668.46,2190.09,3474.08,3585.73,2170.23,2530.09,2041.76,1413.28,3143.67,2789.44,2796.54,1230.03,1228.35,2468.89,2822.07,2731.9,2815.65,2739.79,3220.75,2367.71,3569.06,2819.43,2408.61,3070.0,2652.35,2631.06,2731.9,1952.31,3155.64,3427.69,3427.69,1739.45,3225.46,1338.74,2649.18
762.27,4926.93,5920.34,8249.94,8447.0,8644.92,4054.87,2915.06,0.0,1022.15,536.1,760.28,1221.71,1372.93,4542.54,6806.57,6985.05,8325.6,8437.25,3124.8,4315.41,3278.29,6208.23,5125.65,4022.54,4092.51,4025.1,4023.42,592.3,1294.51,4655.75,3020.04,3884.22,3522.44,3575.73,5147.45,4641.47,4390.58,4365.98,4384.25,4362.96,4655.75,2736.37,369.33,641.38,641.38,2825.59,4828.55,3924.96,467.24
972.46,4461.48,5602.75,7932.35,8129.41,8327.33,3485.28,2345.48,1484.25,0.0,849.53,970.46,1079.12,1826.67,4570.48,3893.95,4233.93,8008.01,8119.66,2659.34,4012.78,2812.83,3457.12,4660.19,4050.48,4120.44,3455.52,3453.84,740.69,1243.48,4214.59,2409.51,3273.69,3550.37,2954.22,4808.1,4302.11,3925.12,4393.91,4135.04,4113.75,4214.59,2270.91,1427.43,1699.48,1699.48,2360.13,8437.67,3355.38,920.97
296.4,4138.19,5815.15,8144.74,8341.8,8539.72,3697.68,2557.87,874.72,556.28,0.0,294.4,755.84,1707.2,4191.74,4106.35,4446.33,8220.41,5235.23,2336.05,3964.61,2489.54,3669.51,4336.9,3671.74,3741.7,3667.91,3666.23,325.6,833.32,4304.95,2086.23,2950.4,3171.63,2630.94,4484.82,3978.83,3601.84,4015.17,4033.45,4012.16,4304.95,1947.63,817.91,1089.96,1089.96,2036.85,4477.75,3567.77,801.51
