id,osm_id,amenity,waste,lon,lat
node/259484788,node/259484788,recycling,,17.1381194,48.1503969
node/2254706206,node/2254706206,recycling,,17.1780411,48.1603164
node/2621566225,node/2621566225,recycling,,17.1845532,48.1438006
node/2708699876,node/2708699876,recycling,,17.175105,48.1721913
node/2708699886,node/2708699886,recycling,,17.1775822,48.1732695
node/2869160561,node/2869160561,recycling,,17.1795349,48.1712368
node/3412397337,node/3412397337,recycling,,17.1720732,48.1536726
node/4622764762,node/4622764762,recycling,,17.1628149,48.1499101
node/4917501840,node/4917501840,recycling,,17.1297232,48.1485108
node/4917722512,node/4917722512,recycling,,17.1382541,48.1486427
node/4917722925,node/4917722925,recycling,,17.1361123,48.1491551
node/4927184177,node/4927184177,recycling,,17.1381006,48.150384
node/5781256853,node/5781256853,recycling,,17.1387414,48.1534827
node/6284914317,node/6284914317,recycling,,17.1288492,48.1482878
node/6486644995,node/6486644995,recycling,,17.1646652,48.1685689
node/6501170896,node/6501170896,recycling,,17.173442,48.1420746
node/6502014132,node/6502014132,recycling,,17.1834446,48.1565431
node/6510751336,node/6510751336,recycling,,17.1721874,48.170914
node/6510751338,node/6510751338,recycling,,17.1712167,48.1716891
node/7116510553,node/7116510553,recycling,,17.1609593,48.1572114
node/7295116135,node/7295116135,recycling,,17.1621936,48.1677306
node/7300466586,node/7300466586,recycling,,17.1596481,48.1586025
node/7314043531,node/7314043531,recycling,,17.176841,48.1523256
node/7417611531,node/7417611531,recycling,,17.1750044,48.1604624
node/7430253913,node/7430253913,recycling,,17.1605446,48.1698019
node/7445027404,node/7445027404,recycling,,17.1611568,48.1696596
node/7476009841,node/7476009841,recycling,,17.172349,48.1492543
node/7476009842,node/7476009842,recycling,,17.1723437,48.1492396
node/7679850702,node/7679850702,recycling,,17.1345326,48.1476287
node/8362785878,node/8362785878,recycling,,17.1364852,48.1547574
node/8398260243,node/8398260243,recycling,,17.1666024,48.1663645
node/8430061588,node/8430061588,recycling,,17.1492391,48.1606869
node/8430061598,node/8430061598,recycling,,17.1494329,48.1623991
node/8430061603,node/8430061603,recycling,,17.152099,48.1625798
node/8430061604,node/8430061604,recycling,,17.1542401,48.1626375
node/8468810566,node/8468810566,recycling,,17.170973,48.1637897
node/8468810584,node/8468810584,recycling,,17.1706814,48.1642119
node/8468810616,node/8468810616,recycling,,17.1716778,48.1599035
node/8481182470,node/8481182470,recycling,,17.1640503,48.1711842
node/8481229317,node/8481229317,recycling,,17.1670188,48.1652759
node/8481229318,node/8481229318,recycling,,17.1661662,48.1656599
node/8481229321,node/8481229321,recycling,,17.1665038,48.1661422
node/8570226209,node/8570226209,recycling,,17.1557716,48.1567258
node/8618892240,node/8618892240,recycling,,17.1289797,48.1503043
node/8618892241,node/8618892241,recycling,,17.1289261,48.1503616
node/8618892242,node/8618892242,recycling,,17.1289314,48.1503468
node/8642690606,node/8642690606,recycling,,17.1561076,48.1563762
node/8685962435,node/8685962435,recycling,,17.1686737,48.1717772
node/8769949436,node/8769949436,recycling,,17.1701328,48.1535996
node/8805440439,node/8805440439,recycling,,17.1303185,48.1459945
